more_detail_link,media_img,hotel_name,money,rating,tax,distance
https://www.booking.com/hotel/in/airport-residency-bangalore-north.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=0&hapos=0&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540577&all_sr_blocks=564131602_213181800_2_42_0&highlighted_blocks=564131602_213181800_2_42_0&matching_block_id=564131602_213181800_2_42_0&sr_pri_blocks=564131602_213181800_2_42_0__2711040&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/305777783.webp?k=d37d6557e7e1c219043cd5f2ea9a3f5b834844691c73b84c484c77e74e99bfab&o=&s=1,"['Airport Residency', 'Opens in new window']","₹ 27,110","5.3
Review score
326 reviews","+₹ 3,253 taxes and charges",300 m from Kempegowda International Airport
https://www.booking.com/hotel/in/taj-bangalore-kempegowda-international-airport1.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540577&all_sr_blocks=162884501_256457778_2_42_0&highlighted_blocks=162884501_256457778_2_42_0&matching_block_id=162884501_256457778_2_42_0&sr_pri_blocks=162884501_256457778_2_42_0__19525000&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/68575709.webp?k=e84e305b991292ae1863d4fc5175faa08bcdae020567289b379c24621fda3158&o=&s=1,"['Taj Bangalore', 'Opens in new window']","₹ 195,250","9.0
Wonderful
1,210 reviews","+₹ 35,145 taxes and charges",400 m from Kempegowda International Airport
https://www.booking.com/hotel/in/oyo-27798-cosmopolitan-bangalore12.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540577&all_sr_blocks=455250002_328156204_2_1_0&highlighted_blocks=455250002_328156204_2_1_0&matching_block_id=455250002_328156204_2_1_0&sr_pri_blocks=455250002_328156204_2_1_0__2387071&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/267626786.webp?k=8e6769add7d3315760d87e789016def65a52b55ccfbc3f7198ccce9631b9835b&o=&s=1,"['Capital O 27798 Hotel Cosmopolitan', 'Opens in new window']","₹ 23,871","4.3
Review score
140 reviews",+₹ 480 taxes and charges,3.7 km from Kempegowda International Airport
https://www.booking.com/hotel/in/terminal-view-bangalore.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540577&all_sr_blocks=589726601_232051534_2_41_0&highlighted_blocks=589726601_232051534_2_41_0&matching_block_id=589726601_232051534_2_41_0&sr_pri_blocks=589726601_232051534_2_41_0__3200000&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/231151278.webp?k=f7db92fb9cf31815426a4655e5641e125d982453f5ca8990bc32a1cfa85e648a&o=&s=1,"['Airport Residency', 'Opens in new window']","₹ 32,000","5.3
Review score
20 reviews","+₹ 3,840 taxes and charges",4.5 km from Kempegowda International Airport
https://www.booking.com/hotel/in/click-bangalore.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540577&all_sr_blocks=678587702_277087732_0_1_0&highlighted_blocks=678587702_277087732_0_1_0&matching_block_id=678587702_277087732_0_1_0&sr_pri_blocks=678587702_277087732_0_1_0__5820000&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/273047874.webp?k=7acb32a71bd99125cdfd26a8bd64ca5f9ce1737398dd967add1a3d9f772e5d1f&o=&s=1,"['Click Hotel Bangalore', 'Opens in new window']","₹ 58,200","8.7
Excellent
306 reviews","+₹ 6,984 taxes and charges",6.8 km from Kempegowda International Airport
https://www.booking.com/hotel/in/airport-regency.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540577&all_sr_blocks=437718102_289829676_2_2_0&highlighted_blocks=437718102_289829676_2_2_0&matching_block_id=437718102_289829676_2_2_0&sr_pri_blocks=437718102_289829676_2_2_0__3040000&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/329320828.webp?k=7c9391bd9f639d9d2ae23ec0201d2c68ec9a93ae378462a496727f3e253cabbe&o=&s=1,"['Airport Regency', 'Opens in new window']","₹ 30,400","8.2
Very Good
509 reviews","+₹ 3,648 taxes and charges",6.6 km from Kempegowda International Airport
https://www.booking.com/hotel/in/regenta-inn-by-royal-orchid-hotels-ltd.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540577&all_sr_blocks=187915602_269942200_2_42_0&highlighted_blocks=187915602_269942200_2_42_0&matching_block_id=187915602_269942200_2_42_0&sr_pri_blocks=187915602_269942200_2_42_0__4132515&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/74395197.webp?k=4b268b69dbdf437be4b22c7ea136558ce5aced430abbe76cafeded8ec609916d&o=&s=1,"['Regenta Inn Devanahalli Bangalore, Airport Road', 'Opens in new window']","₹ 41,325","6.4
Review score
191 reviews","+₹ 4,959 taxes and charges",6.9 km from Kempegowda International Airport
https://www.booking.com/hotel/in/jn-guestline.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540577&all_sr_blocks=486189901_159549162_0_42_0&highlighted_blocks=486189901_159549162_0_42_0&matching_block_id=486189901_159549162_0_42_0&sr_pri_blocks=486189901_159549162_0_42_0__3200000&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/190456742.webp?k=4f0eecd15d3dce058a5e45bbc34925d31e346dc8eccd1e593b20661c70edd318&o=&s=1,"['JN Guestline', 'Opens in new window']","₹ 32,000","7.9
Good
127 reviews","+₹ 3,840 taxes and charges",6.9 km from Kempegowda International Airport
https://www.booking.com/hotel/in/presidency-kempegowda-international-airport.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540577&all_sr_blocks=171064801_244635773_0_2_0&highlighted_blocks=171064801_244635773_0_2_0&matching_block_id=171064801_244635773_0_2_0&sr_pri_blocks=171064801_244635773_0_2_0__3472000&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/76194814.webp?k=309fc0e260909606a8466384c1a0aa9c9bfa14a72dc1337846ca43de09cc96f6&o=&s=1,"['Hotel Presidency Bangalore Airport', 'Opens in new window']","₹ 34,720","6.8
Review score
156 reviews","+₹ 4,166 taxes and charges",0.9 km from Kempegowda International Airport
https://www.booking.com/hotel/in/oyo-22101-shree-raksha-comfort-bangalore12.html?label=BLR&sid=428ba0028bf6d928d014ce18adfa0425&aid=358577&ucfs=1&arphpl=1&checkin=2021-12-15&checkout=2021-12-31&dest_id=7995&dest_type=airport&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=9fc21baf17f40058&srepoch=1639540577&all_sr_blocks=455687302_328156228_2_1_0&highlighted_blocks=455687302_328156228_2_1_0&matching_block_id=455687302_328156228_2_1_0&sr_pri_blocks=455687302_328156228_2_1_0__2123666&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square600/252229142.webp?k=aac22e4e41801815de093b98085bce73d78622bdb61751fec01b143bb1d34861&o=&s=1,"['OYO Flagship 22101 Green Leaf International 2', 'Opens in new window']","₹ 21,237","4.0
Review score
13 reviews",+₹ 480 taxes and charges,6.5 km from Kempegowda International Airport
